identifier_Id,identifier_fips,identifier_apn,identifier_attomId,address_country,address_countrySubd,address_line1,address_line2,address_locality,address_matchCode,address_oneLine,address_postal1,address_postal2,address_postal3,location_accuracy,location_latitude,location_longitude,location_distance,location_geoid,location_geoIdV4_CO,location_geoIdV4_CS,location_geoIdV4_DB,location_geoIdV4_N1,location_geoIdV4_N2,location_geoIdV4_PL,location_geoIdV4_SB,location_geoIdV4_ZI,vintage_lastModified,vintage_pubDate,location_geoIdV4_N4,location_geoIdV4_N3
30267,36061,00754-1004,30267,US,NY,357 W 30TH ST APT 4,"NEW YORK, NY 10001",NEW YORK,ExaStr,"357 W 30TH ST APT 4, NEW YORK, NY 10001",10001,2747,C015,Rooftop,40.750786,-73.997399,0.0,"CO36061, CS3644919, ND0000571715, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
398087,36061,00779-0045,398087,US,NY,360 7TH AVE,"NEW YORK, NY 10001",NEW YORK,ExaStr,"360 7TH AVE, NEW YORK, NY 10001",10001,5011,C013,Rooftop,40.748494,-73.992803,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
1395391,36061,00804-0017,1395391,US,NY,135 W 28TH ST,"NEW YORK, NY 10001",NEW YORK,ExaStr,"135 W 28TH ST, NEW YORK, NY 10001",10001,6118,C041,Rooftop,40.746915,-73.992015,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, RS0004908758, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,65a250cbbc1deea61978fa1528cc59ff,
1395418,36061,00753-0016,1395418,US,NY,339 W 29TH ST,"NEW YORK, NY 10001",NEW YORK,ExaStr,"339 W 29TH ST, NEW YORK, NY 10001",10001,4777,C056,Rooftop,40.749972,-73.997350,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
1528817,36061,00802-0077,1528817,US,NY,299 7TH AVE,"NEW YORK, NY 10001",NEW YORK,ExaStr,"299 7TH AVE, NEW YORK, NY 10001",10001,6009,C010,Rooftop,40.746411,-73.993621,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
2392117,36061,00831-0055,2392117,US,NY,28 W 30TH ST,"NEW YORK, NY 10001",NEW YORK,ExaStr,"28 W 30TH ST, NEW YORK, NY 10001",10001,4442,C058,Rooftop,40.746316,-73.987913,0.0,"CO36061, CS3644919, DB3600077, ND0000128985, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,d9090896e5748a57261791296d353f1c,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
2392120,36061,00834-0021,2392120,US,NY,37 W 32ND ST,"NEW YORK, NY 10001",NEW YORK,ExaStr,"37 W 32ND ST, NEW YORK, NY 10001",10001,3801,C021,Rooftop,40.748112,-73.987205,0.0,"CO36061, CS3644919, DB3600077, ND0000006500, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,624115f06414ff7101a233008d3ef4f7,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
4004758,36061,00774-0081,4004758,US,NY,280 W 25TH ST,"NEW YORK, NY 10001",NEW YORK,ExaStr,"280 W 25TH ST, NEW YORK, NY 10001",10001,7304,C004,Rooftop,40.746290,-73.997263,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, SB0000105724, SB0000105755, SB0000139184, SB0000142786, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"914b9683cc42a2caa566b928411a49bd, 58f953f161fe1bc7a61a6e6570068681, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
4149343,36061,00803-0046,4149343,US,NY,108 W 28TH ST,"NEW YORK, NY 10001",NEW YORK,ExaStr,"108 W 28TH ST, NEW YORK, NY 10001",10001,6101,C041,Rooftop,40.746093,-73.991221,0.0,"CO36061, CS3644919, DB3600077, ND0000571715, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,a4faa972f6740d3f5ac99821b8f6900f,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
4155506,36061,00829-0042,4155506,US,NY,246 5TH AVE,"NEW YORK, NY 10001",NEW YORK,ExaStr,"246 5TH AVE, NEW YORK, NY 10001",10001,7603,C051,Rooftop,40.744758,-73.987757,0.0,"CO36061, CS3644919, DB3600077, ND0000128985, ND0000571725, PL3651000, SB0000105725, SB0000139184, SB0000142786, SB0000151673, ZI10001",760ad60f6671cbf0429ae9806042b545,3bc7a8ca32a4da6a7beb95fb4949fbf5,e35b0afc81cc59e43ff809102442a118,f9be93d2c511d894d208f7c02a07cad6,d9090896e5748a57261791296d353f1c,219ca739bd6e73f7e89c24edb7eee9f7,"0da99c90906851a2939dd57c4f024d90, 5c9d8e0696905ac087187b9a082331fc",68ba326151c3c611de1214ea0bf07a58,2025-06-24,2025-06-24,,
